naru-sonnet-msfyvh1kulsvhb	6 8 5 1 0 9 3 7
naru-kimi-msfyvhrlt9wpn9	3 8 7 4 1 9 5 8
naru-sonnet-msfyvjd7bbybhl	4 8 6 2 1 9 3 7
naru-kimi-msfyvk6v0vh2px	6 8 7 3 0 10 4 9
naru-flash-msfyvimxmd1yes	2 9 8 0 9 10 3 9
naru-flash-msfyvl5irb2mz6	2 8 6 1 0 10 4 9
naru-sonnet-msfyvlwj2wo25r	6 9 7 1 0 10 4 8
naru-kimi-msfyvmnrdy6qgs	3 7 8 5 1 9 4 10
naru-flash-msfyvnuaz2avh7	4 8 6 2 1 9 3 7
naru-sonnet-msfyvpgbz1jx4n	3 8 5 1 0 10 4 7
naru-flash-msfyvrqv2harsq	1 9 6 2 1 9 3 8
naru-kimi-msfyvqyhpffk9a	3 7 6 2 0 9 4 8
naru-sonnet-msfyvspo5ic7ms	3 8 6 1 0 10 4 7
naru-kimi-msfyvtbqh9217p	3 8 7 4 1 9 5 8
naru-sonnet-msfyvv9soypza7	6 9 7 2 1 10 4 8
naru-kimi-msfyvw56tzmbb6	4 8 7 3 0 10 2 9
naru-flash-msfyvu6qrq91mk	4 9 6 1 8 10 3 7
naru-flash-msfyvwxsdlihlh	3 8 5 1 2 9 4 10
naru-sonnet-msfyvxydbaa2ca	6 8 5 2 1 9 4 7
naru-kimi-msfyvyn7h8461o	4 8 7 2 0 10 3 9
naru-flash-msfyvztqrfy75q	2 8 7 1 1 9 3 9
naru-sonnet-msfyw1bga0uprp	3 8 6 2 1 9 5 7
naru-kimi-msfyw2zdsxm7p5	2 7 6 3 1 9 4 8
naru-flash-msfyw4vz0feh1b	4 7 6 2 1 9 3 8
naru-sonnet-msfyw6rr24wct5	6 8 4 2 1 9 3 7
naru-kimi-msfyw7srgd8n7r	2 7 8 3 0 10 4 9
naru-sonnet-msfywbglqay10v	6 8 5 2 0 9 3 7
naru-flash-msfyw9agkvqwri	2 7 8 4 1 10 5 9
naru-kimi-msfywc5j0v1co0	6 8 7 3 0 10 4 9
naru-flash-msfywdc9a16bvs	2 8 7 1 3 10 5 9
naru-sonnet-msfywe6dkqar0t	6 9 5 1 0 10 3 7
naru-flash-msfywgqqbci4nq	3 6 8 1 2 9 7 10
naru-sonnet-msfywhvcac7bs6	4 8 6 2 1 9 3 7
naru-kimi-msfywf767l9gzs	4 7 8 3 1 9 2 6
naru-kimi-msfywiu4gejhjd	1 8 6 4 0 10 3 9
naru-flash-msfywjjmyl1djr	3 9 7 1 2 6 4 10
naru-sonnet-msfywx22qx368x	6 8 4 3 1 9 2 7
naru-flash-msfywy8xsbsg6w	8 9 5 3 1 10 4 7
naru-sonnet-msfywytq0ki6cg	5 8 3 1 0 9 2 7
naru-kimi-msfywxnzxdh3tg	7 9 4 5 1 10 3 8
naru-flash-msfyx022rvkht3	4 10 6 2 1 9 3 8
naru-kimi-msfywzhzrqdlnf	6 9 4 3 0 10 2 8
naru-sonnet-msfyx0s18dighn	5 8 4 2 1 10 3 7
naru-kimi-msfyx1egqaodrr	5 8 3 2 1 10 0 7
naru-kimi-msfyx4g3vrzolj	6 8 4 5 1 10 2 9
naru-flash-msfyx2g0vhx8xv	3 7 4 1 0 10 2 8
naru-flash-msfyx5zv35mn2g	6 8 3 2 1 9 4 7
naru-sonnet-msfyx7cisoo7ns	6 8 3 1 0 9 4 7
naru-sonnet-msfyx3ld0y4qx0	6 8 3 2 1 9 2 7
naru-kimi-msfyx87awyvbh1	6 8 4 3 0 10 2 7
naru-flash-msfyx9a99cer5x	6 9 5 2 0 9 2 8
naru-sonnet-msfyxapp4k0o1z	6 8 4 2 1 10 3 7
naru-sonnet-msfyxdm7oda2cb	6 8 3 2 1 9 2 6
naru-kimi-msfyxbmlejk5fo	5 8 3 4 1 10 2 7
naru-flash-msfyxct72f4xza	2 7 4 1 0 10 1 8
naru-kimi-msfyxebcz7l57d	7 8 4 5 1 10 3 8
naru-sonnet-msfyxgcp7tje3n	6 8 3 2 0 9 4 7
naru-flash-msfyxfcvu2mcht	4 9 3 2 1 10 5 7
naru-kimi-msfyxhfvd4qa1h	6 8 4 3 0 10 2 9
naru-flash-msfyxi902oudmp	5 8 6 2 1 10 4 9
naru-sonnet-msfyxki0ddzgpd	6 8 3 2 1 10 2 7
naru-kimi-msfyxluhhxl1vm	5 8 2 4 0 10 1 8
naru-flash-msfyxnsht1wl0y	5 8 3 1 0 10 2 7
